"管理用番号","市町村コード","基準地番号・標準地番号(最新年)","地価調査・地価公示の別","用途","所在(市町村名)","所在(大字以降)","所在(住居表示)","経度(世界測地系)","緯度(世界測地系)","平成5年(1993)","平成6年(1994)","平成7年(1995)","平成8年(1996)","平成9年(1997)","平成10年(1998)","平成11年(1999)","平成12年(2000)","平成13年(2001)","平成14年(2002)","平成15年(2003)","平成16年(2004)","平成17年(2005)","平成18年(2006)","平成19年(2007)","平成20年(2008)","平成21年(2009)","平成22年(2010)","平成23年(2011)","平成24年(2012)","平成25年(2013)","平成26年(2014)","平成27年(2015)","平成28年(2016)","平成29年(2017)","平成30年(2018)","平成31年(2019)","令和2年(2020)","経度","緯度","分類"
"100077","302015","和歌山5-23","地価公示","商業","和歌山市","松島字平柳１０５番２外","","135.2079981","34.24469995","","","","","","","","","","140,000","129,000","117,000","105,000","97,000","94,000","91,200","88,000","84,000","80,200","77,500","75,200","73,500","72,200","71,900","71,800","71,700","71,600","71,600","135.207998100003","34.2446999499972","R02地価公示標準地"
"100079","302015","和歌山5-24","地価公示","商業","和歌山市","舟津町３丁目４番","","135.1598972","34.22077264","365,000","328,000","305,000","278,000","248,000","225,000","184,000","167,000","159,000","151,000","142,000","133,000","125,000","120,000","116,000","116,000","114,000","110,000","106,000","103,000","101,000","101,000","102,000","103,000","104,000","104,000","104,000","104,000","135.159897200005","34.2207726399995","R02地価公示標準地"
"100201","302015","和歌山5-25","地価公示","商業","和歌山市","小雑賀字西浜畑６４０番３外","","135.1832859","34.20116376","","","","","","","","","","","","","","","","","","","","","","99,900","99,900","101,000","102,000","103,000","104,000","105,000","135.183285900003","34.2011637599987","R02地価公示標準地"
"100202","302015","和歌山5-26","地価公示","商業","和歌山市","善明寺字岡ノ下３０２番１","","135.1867881","34.26166771","","","","","","","","","","","","","","","","","","","","","","73,000","73,000","73,400","73,800","74,100","74,400","74,600","135.186788100002","34.2616677099973","R02地価公示標準地"
"100216","302015","和歌山5-27","地価公示","商業","和歌山市","秋月字硲４１２番１","","135.2068","34.2281475","","","","","","","","","","","","","","","","","","","","","","","","","96,200","96,200","96,600","97,000","135.206800000002","34.2281474999974","R02地価公示標準地"
"100217","302015","和歌山5-28","地価公示","商業","和歌山市","六十谷字宮ノ前２２６番２","","135.204405","34.2615825","","","","","","","","","","","","","","","","","","","","","","","","","82,500","83,000","83,200","83,500","135.204405000002","34.2615824999974","R02地価公示標準地"
"100098","302023","海南5-1","地価公示","商業","海南市","名高字大須賀５３７番６","","135.211603","34.15464434","","","478,000","410,000","373,000","340,000","297,000","267,000","246,000","224,000","205,000","188,000","172,000","158,000","146,000","139,000","133,000","127,000","123,000","120,000","119,000","118,000","116,000","113,000","111,000","108,000","104,000","99,700","135.211603000005","34.1546443399955","R02地価公示標準地"
"100209","302023","海南5-2","地価公示","商業","海南市","下津町黒田字川端５５番１","","135.158814","34.126300","","","","","","","","","","","","","","","","","","","","","","","","50,600","48,900","47,500","46,200","44,900","135.158814000005","34.126299999996","R02地価公示標準地"
"100100","302023","海南5-3","地価公示","商業","海南市","大野中字八幡４７０番４","","135.222765","34.153445","","","","","","","","","","","","","","","","","","91,000","86,800","83,500","81,700","80,800","80,000","79,000","78,100","77,300","76,500","76,000","135.222765000004","34.1534449999958","R02地価公示標準地"
"100106","302031","橋本5-1","地価公示","商業","橋本市","東家４丁目４１番３","東家４－１７－８","135.6101493","34.31634275","","","","","198,000","190,000","175,000","161,000","150,000","139,000","126,000","110,000","99,000","89,100","83,000","81,500","79,300","75,900","72,400","69,800","67,200","65,100","63,200","61,500","60,000","58,300","56,600","54,900","135.610149300004","34.3163427499972","R02地価公示標準地"
